Building Name,Cleaned Name,Latitude,Longitude,Full Address
101 Marshall College,101 MARSHALL COLLEGE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
102 Marshall College,102 MARSHALL COLLEGE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
103 Marshall College,103 MARSHALL COLLEGE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
10300 Campus Point Drive,10300 CAMPUS POINT DRIVE,32.8923799,-117.2225842,"10300 Campus Point Dr, San Diego, CA 92121, USA"
10350 North Torrey Pines Road,10350 NORTH TORREY PINES ROAD,32.891569,-117.2417027,"10350 N Torrey Pines Rd, La Jolla, CA 92037, USA"
103A Marshall College,103A MARSHALL COLLEGE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
10995 Gold Center Drive,10995 GOLD CENTER DRIVE,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
11388 Sorrento Valley Road,11388 SORRENTO VALLEY ROAD,32.9087332,-117.2294271,"11388 Sorrento Valley Rd, San Diego, CA 92121, USA"
114 Arbor,114 ARBOR,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
1200 Garden View Road,1200 GARDEN VIEW ROAD,33.0580275,-117.2602993,"1200 Garden View Rd, Encinitas, CA 92024, USA"
1220 El Carmel Place,1220 EL CARMEL PLACE,32.7796823,-117.2482126,"1220 El Carmel Pl, San Diego, CA 92109, USA"
1241 Cave Street,1241 CAVE STREET,32.8476648,-117.2712175,"1241 Cave St, La Jolla, CA 92037, USA"
125 Dickinson Street,125 DICKINSON STREET,32.755059,-117.1644796,"125 Dickinson St, San Diego, CA 92103, USA"
134 Dickinson,134 DICKINSON,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
135 Dickinson Street,135 DICKINSON STREET,32.7549935,-117.1645693,"135 Dickinson St, San Diego, CA 92103, USA"
136 Dickinson Street,136 DICKINSON STREET,32.7557244,-117.1646732,"136 Dickinson St, San Diego, CA 92103, USA"
138 Dickinson,138 DICKINSON,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
140 Arbor,140 ARBOR,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
1450 Frazee Road,1450 FRAZEE ROAD,32.7733986,-117.1593331,"1450 Frazee Rd, San Diego, CA 92108, USA"
150 Dickinson,150 DICKINSON,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
150 Dickinson Street,150 DICKINSON STREET,32.7557108,-117.1649831,"Parking Lot P957, 150 Dickinson St, San Diego, CA 92103, USA"
1505 Encinitas Blvd,1505 ENCINITAS BLVD,33.0454539,-117.2567163,"1505 Encinitas Blvd, Encinitas, CA 92024, USA"
1550 Hotel Circle North,1550 HOTEL CIRCLE NORTH,32.7598706,-117.177459,"1550 Hotel Cir N, San Diego, CA 92108, USA"
16766 Bernardo Center Drive,16766 BERNARDO CENTER DRIVE,33.0176445,-117.076304,"R B Medical Dental Building, 16766 Bernardo Center Dr, San Diego, CA 92128, USA"
16918 Dove Canyon Road,16918 DOVE CANYON ROAD,33.0174666,-117.1120591,"16918 Dove Canyon Rd, San Diego, CA 92127, USA"
16950 Via Tazon,16950 VIA TAZON,33.022295,-117.0861957,"16950 Via Tazon, San Diego, CA 92127, USA"
1899 McKee Street,1899 MCKEE STREET,32.7436537,-117.182237,"1899 McKee St, San Diego, CA 92110, USA"
203/213 West F Street,203/213 WEST F STREET,32.7134419,-117.1649553,"203 F St, San Diego, CA 92101, USA"
2131 Third Avenue,2131 THIRD AVENUE,32.7278767,-117.1618604,"2131 Third Ave, San Diego, CA 92101, USA"
22-24 Borgo Ognissanti,22 24 BORGO OGNISSANTI,32.8328112,-117.2712717,"La Jolla, San Diego, CA, USA"
2251 San Diego Avenue,2251 SAN DIEGO AVENUE,32.7486372,-117.1925753,"2251 San Diego Ave, San Diego, CA 92110, USA"
